"year","zone","indicator","measure","value"
"2013","S01001790","With 'Occupied Exemptions'","Ratio",3
"2011","S01001790","With 'Occupied Exemptions'","Ratio",2
"2014","S01001790","With 'Occupied Exemptions'","Ratio",3
"2009","S01001790","With 'Occupied Exemptions'","Ratio",2
"2011","S01001790","Which Are Second Homes","Ratio",1
"2014","S01001790","Which Are Second Homes","Ratio",1
"2008","S01001790","Which Are Second Homes","Ratio",0
"2009","S01001790","Which Are Second Homes","Ratio",1
"2010","S01001790","Which Are Second Homes","Ratio",1
"2013","S01001790","Which Are Second Homes","Ratio",1
"2007","S01001790","Which Are Second Homes","Ratio",0
"2012","S01001790","Which Are Second Homes","Ratio",0
"2007","S01001790","With Single Adult Discounts","Ratio",34
"2008","S01001790","With Single Adult Discounts","Ratio",35
"2009","S01001790","With Single Adult Discounts","Ratio",31
"2010","S01001790","With Single Adult Discounts","Ratio",32
"2011","S01001790","With Single Adult Discounts","Ratio",31
"2012","S01001790","With Single Adult Discounts","Ratio",33
"2013","S01001790","With Single Adult Discounts","Ratio",33
"2014","S01001790","With Single Adult Discounts","Ratio",33
"2012","S01001790","Which Are Vacant","Ratio",1
"2013","S01001790","Which Are Vacant","Ratio",1
"2007","S01001790","Which Are Vacant","Ratio",1
"2009","S01001790","Which Are Vacant","Ratio",0
"2008","S01001790","Which Are Vacant","Ratio",1
"2011","S01001790","Which Are Vacant","Ratio",1
"2014","S01001790","Which Are Vacant","Ratio",1
"2010","S01001790","Which Are Vacant","Ratio",1
"2007","S01001791","Which Are Occupied","Count",305
"2007","S01001791","With Single Adult Discounts","Count",78
"2008","S01001791","With Single Adult Discounts","Count",74
"2011","S01001791","With 'Occupied Exemptions'","Count",2
"2010","S01001791","With 'Occupied Exemptions'","Count",3
"2009","S01001791","With Single Adult Discounts","Count",77
"2009","S01001791","Which Are Occupied","Count",304
"2010","S01001791","With Single Adult Discounts","Count",79
"2008","S01001791","With 'Occupied Exemptions'","Count",3
"2011","S01001791","With Single Adult Discounts","Count",84
"2013","S01001791","Which Are Occupied","Count",312
"2012","S01001791","With Single Adult Discounts","Count",77
"2012","S01001791","With 'Occupied Exemptions'","Count",2
"2013","S01001791","With Single Adult Discounts","Count",82
"2007","S01001791","With 'Occupied Exemptions'","Count",4
"2014","S01001791","With Single Adult Discounts","Count",83
"2011","S01001791","Which Are Vacant","Count",5
"2014","S01001791","With 'Occupied Exemptions'","Count",5
"2011","S01001791","Which Are Second Homes","Count",0
"2012","S01001791","Which Are Occupied","Count",309
"2010","S01001791","Which Are Vacant","Count",4
"2010","S01001791","Which Are Occupied","Count",304
"2014","S01001791","Which Are Second Homes","Count",0
"2014","S01001791","Which Are Vacant","Count",5
"2007","S01001791","Which Are Vacant","Count",2
"2008","S01001791","Which Are Vacant","Count",4
"2012","S01001791","Which Are Vacant","Count",2
"2008","S01001791","Which Are Second Homes","Count",1
"2013","S01001791","With 'Occupied Exemptions'","Count",4
"2007","S01001791","Which Are Second Homes","Count",1
"2013","S01001791","Which Are Vacant","Count",1
"2009","S01001791","Which Are Vacant","Count",2
"2010","S01001791","Total Dwellings","Count",310
"2014","S01001791","Total Dwellings","Count",312
"2013","S01001791","Total Dwellings","Count",313
"2009","S01001791","Total Dwellings","Count",308
"2008","S01001791","Total Dwellings","Count",309
"2011","S01001791","Total Dwellings","Count",312
"2012","S01001791","Total Dwellings","Count",312
"2007","S01001791","Total Dwellings","Count",308
"2009","S01001791","Which Are Second Homes","Count",2
"2013","S01001791","Which Are Second Homes","Count",0
"2008","S01001791","Which Are Occupied","Count",303
"2014","S01001791","Which Are Occupied","Count",307
"2010","S01001791","Which Are Second Homes","Count",2
"2011","S01001791","Which Are Occupied","Count",307
"2009","S01001791","With 'Occupied Exemptions'","Count",3
"2012","S01001791","Which Are Second Homes","Count",1
"2009","S01001791","Which Are Occupied","Ratio",99
"2010","S01001791","Which Are Occupied","Ratio",98
"2013","S01001791","Which Are Occupied","Ratio",100
"2008","S01001791","Which Are Occupied","Ratio",98
"2011","S01001791","Which Are Occupied","Ratio",98
"2014","S01001791","Which Are Occupied","Ratio",98
"2007","S01001791","Which Are Occupied","Ratio",99
"2012","S01001791","Which Are Occupied","Ratio",99
"2008","S01001791","With 'Occupied Exemptions'","Ratio",1
"2010","S01001791","With 'Occupied Exemptions'","Ratio",1
"2007","S01001791","With 'Occupied Exemptions'","Ratio",1
"2012","S01001791","With 'Occupied Exemptions'","Ratio",1
"2013","S01001791","With 'Occupied Exemptions'","Ratio",1
"2011","S01001791","With 'Occupied Exemptions'","Ratio",1
"2014","S01001791","With 'Occupied Exemptions'","Ratio",2
"2009","S01001791","With 'Occupied Exemptions'","Ratio",1
"2011","S01001791","Which Are Second Homes","Ratio",0
"2014","S01001791","Which Are Second Homes","Ratio",0
"2008","S01001791","Which Are Second Homes","Ratio",0
"2009","S01001791","Which Are Second Homes","Ratio",1
"2010","S01001791","Which Are Second Homes","Ratio",1
"2013","S01001791","Which Are Second Homes","Ratio",0
"2007","S01001791","Which Are Second Homes","Ratio",0
"2012","S01001791","Which Are Second Homes","Ratio",0
"2007","S01001791","With Single Adult Discounts","Ratio",25
"2008","S01001791","With Single Adult Discounts","Ratio",24
"2009","S01001791","With Single Adult Discounts","Ratio",25
"2010","S01001791","With Single Adult Discounts","Ratio",25
"2011","S01001791","With Single Adult Discounts","Ratio",27
"2012","S01001791","With Single Adult Discounts","Ratio",25
"2013","S01001791","With Single Adult Discounts","Ratio",26
"2014","S01001791","With Single Adult Discounts","Ratio",27
"2012","S01001791","Which Are Vacant","Ratio",1
"2013","S01001791","Which Are Vacant","Ratio",0
"2007","S01001791","Which Are Vacant","Ratio",1
"2009","S01001791","Which Are Vacant","Ratio",1
"2008","S01001791","Which Are Vacant","Ratio",1
"2011","S01001791","Which Are Vacant","Ratio",2
"2014","S01001791","Which Are Vacant","Ratio",2
"2010","S01001791","Which Are Vacant","Ratio",1
"2010","S01001792","With 'Occupied Exemptions'","Count",2
"2012","S01001792","With 'Occupied Exemptions'","Count",5
"2013","S01001792","With 'Occupied Exemptions'","Count",6
"2007","S01001792","With 'Occupied Exemptions'","Count",1
"2009","S01001792","With 'Occupied Exemptions'","Count",2
"2011","S01001792","With 'Occupied Exemptions'","Count",3
"2014","S01001792","With 'Occupied Exemptions'","Count",6
"2008","S01001792","With 'Occupied Exemptions'","Count",2
"2007","S01001792","Which Are Second Homes","Count",1
"2008","S01001792","Which Are Second Homes","Count",2
"2009","S01001792","Which Are Second Homes","Count",1
"2010","S01001792","Which Are Second Homes","Count",1
"2011","S01001792","Which Are Second Homes","Count",3
"2012","S01001792","Which Are Second Homes","Count",1
"2013","S01001792","Which Are Second Homes","Count",2
"2014","S01001792","Which Are Second Homes","Count",1
"2011","S01001792","With Single Adult Discounts","Count",81
"2014","S01001792","With Single Adult Discounts","Count",90
"2008","S01001792","With Single Adult Discounts","Count",92
"2013","S01001792","With Single Adult Discounts","Count",82
"2007","S01001792","With Single Adult Discounts","Count",94
"2012","S01001792","With Single Adult Discounts","Count",87
"2009","S01001792","With Single Adult Discounts","Count",88
"2010","S01001792","With Single Adult Discounts","Count",87
"2011","S01001792","Which Are Vacant","Count",5
"2014","S01001792","Which Are Vacant","Count",3
"2009","S01001792","Which Are Vacant","Count",1
"2008","S01001792","Which Are Vacant","Count",1
"2012","S01001792","Which Are Vacant","Count",1
"2013","S01001792","Which Are Vacant","Count",4
"2007","S01001792","Which Are Vacant","Count",2
"2010","S01001792","Which Are Vacant","Count",2
"2009","S01001792","Total Dwellings","Count",294
"2010","S01001792","Total Dwellings","Count",295
"2014","S01001792","Total Dwellings","Count",294
"2008","S01001792","Total Dwellings","Count",294
"2013","S01001792","Total Dwellings","Count",295
"2007","S01001792","Total Dwellings","Count",296
"2011","S01001792","Total Dwellings","Count",295
"2012","S01001792","Total Dwellings","Count",295
"2010","S01001792","Which Are Occupied","Count",291
"2007","S01001792","Which Are Occupied","Count",293
"2008","S01001792","Which Are Occupied","Count",291
"2013","S01001792","Which Are Occupied","Count",289
"2014","S01001792","Which Are Occupied","Count",289
"2012","S01001792","Which Are Occupied","Count",293
"2009","S01001792","Which Are Occupied","Count",292
"2011","S01001792","Which Are Occupied","Count",287
"2007","S01001792","Which Are Occupied","Ratio",99
"2011","S01001792","Which Are Second Homes","Ratio",1
"2010","S01001792","Which Are Occupied","Ratio",99
"2014","S01001792","Which Are Occupied","Ratio",99
"2012","S01001792","With Single Adult Discounts","Ratio",29
"2009","S01001792","With Single Adult Discounts","Ratio",30
"2012","S01001792","Which Are Second Homes","Ratio",0
"2008","S01001792","Which Are Occupied","Ratio",99
"2013","S01001792","Which Are Second Homes","Ratio",1
"2013","S01001792","Which Are Occupied","Ratio",98
"2007","S01001792","With Single Adult Discounts","Ratio",32
"2012","S01001792","Which Are Occupied","Ratio",99
"2009","S01001792","Which Are Occupied","Ratio",99
"2010","S01001792","With Single Adult Discounts","Ratio",30
"2014","S01001792","Which Are Second Homes","Ratio",0
"2011","S01001792","Which Are Occupied","Ratio",97
"2009","S01001792","With 'Occupied Exemptions'","Ratio",1
"2009","S01001792","Which Are Vacant","Ratio",0
"2007","S01001792","With 'Occupied Exemptions'","Ratio",0
"2011","S01001792","With 'Occupied Exemptions'","Ratio",1
"2008","S01001792","With 'Occupied Exemptions'","Ratio",1
"2012","S01001792","With 'Occupied Exemptions'","Ratio",2
"2010","S01001792","With 'Occupied Exemptions'","Ratio",1
"2014","S01001792","With Single Adult Discounts","Ratio",31
"2013","S01001792","Which Are Vacant","Ratio",1
"2013","S01001792","With Single Adult Discounts","Ratio",28
"2011","S01001792","With Single Adult Discounts","Ratio",27
"2008","S01001792","With Single Adult Discounts","Ratio",31
"2010","S01001792","Which Are Vacant","Ratio",1
"2013","S01001792","With 'Occupied Exemptions'","Ratio",2
"2014","S01001792","Which Are Vacant","Ratio",1
"2014","S01001792","With 'Occupied Exemptions'","Ratio",2
"2007","S01001792","Which Are Second Homes","Ratio",0
"2012","S01001792","Which Are Vacant","Ratio",0
"2007","S01001792","Which Are Vacant","Ratio",1
"2008","S01001792","Which Are Second Homes","Ratio",1
"2008","S01001792","Which Are Vacant","Ratio",0
"2009","S01001792","Which Are Second Homes","Ratio",0
"2011","S01001792","Which Are Vacant","Ratio",2
"2010","S01001792","Which Are Second Homes","Ratio",0
"2012","S01001793","With Single Adult Discounts","Count",123
"2011","S01001793","With Single Adult Discounts","Count",131
"2009","S01001793","With Single Adult Discounts","Count",129
"2013","S01001793","Which Are Occupied","Count",353
"2008","S01001793","Which Are Occupied","Count",349
"2008","S01001793","With Single Adult Discounts","Count",127
"2013","S01001793","With Single Adult Discounts","Count",123
"2007","S01001793","With Single Adult Discounts","Count",127
"2013","S01001793","With 'Occupied Exemptions'","Count",17
"2011","S01001793","With 'Occupied Exemptions'","Count",9
"2011","S01001793","Which Are Occupied","Count",347
"2014","S01001793","With Single Adult Discounts","Count",142
"2009","S01001793","With 'Occupied Exemptions'","Count",3
"2008","S01001793","With 'Occupied Exemptions'","Count",5
"2010","S01001793","With Single Adult Discounts","Count",130
"2009","S01001793","Which Are Occupied","Count",352
"2007","S01001793","Which Are Second Homes","Count",0
"2009","S01001793","Which Are Vacant","Count",3
"2010","S01001793","Which Are Occupied","Count",347
"2012","S01001793","Which Are Occupied","Count",344
"2012","S01001793","Which Are Vacant","Count",11
"2008","S01001793","Which Are Second Homes","Count",2
"2007","S01001793","Which Are Occupied","Count",343
"2009","S01001793","Which Are Second Homes","Count",2
"2008","S01001793","Which Are Vacant","Count",3
"2013","S01001793","Which Are Vacant","Count",7
"2007","S01001793","Which Are Vacant","Count",4
"2014","S01001793","Which Are Occupied","Count",366
"2010","S01001793","Which Are Vacant","Count",6
"2014","S01001793","Which Are Vacant","Count",8
"2010","S01001793","Which Are Second Homes","Count",5
"2011","S01001793","Which Are Vacant","Count",7
"2012","S01001793","Total Dwellings","Count",359
"2011","S01001793","Total Dwellings","Count",358
"2009","S01001793","Total Dwellings","Count",357
"2013","S01001793","Total Dwellings","Count",362
"2008","S01001793","Total Dwellings","Count",354
"2014","S01001793","Total Dwellings","Count",375
"2007","S01001793","Total Dwellings","Count",347
"2010","S01001793","Total Dwellings","Count",358
"2011","S01001793","Which Are Second Homes","Count",4
"2014","S01001793","With 'Occupied Exemptions'","Count",15
"2010","S01001793","With 'Occupied Exemptions'","Count",6
"2012","S01001793","Which Are Second Homes","Count",4
"2012","S01001793","With 'Occupied Exemptions'","Count",11
"2013","S01001793","Which Are Second Homes","Count",2
"2014","S01001793","Which Are Second Homes","Count",1
"2007","S01001793","With 'Occupied Exemptions'","Count",6
"2009","S01001793","Which Are Occupied","Ratio",98
"2010","S01001793","Which Are Occupied","Ratio",97
"2013","S01001793","Which Are Occupied","Ratio",98
"2008","S01001793","Which Are Occupied","Ratio",98
"2014","S01001793","Which Are Occupied","Ratio",98
"2012","S01001793","Which Are Occupied","Ratio",96
"2007","S01001793","Which Are Occupied","Ratio",99
"2011","S01001793","Which Are Occupied","Ratio",97
"2011","S01001793","With 'Occupied Exemptions'","Ratio",3
"2008","S01001793","With 'Occupied Exemptions'","Ratio",1
"2010","S01001793","With 'Occupied Exemptions'","Ratio",2
"2007","S01001793","With 'Occupied Exemptions'","Ratio",2
"2014","S01001793","With 'Occupied Exemptions'","Ratio",4
"2012","S01001793","With 'Occupied Exemptions'","Ratio",3
"2009","S01001793","With 'Occupied Exemptions'","Ratio",1
"2013","S01001793","With 'Occupied Exemptions'","Ratio",5
"2007","S01001793","Which Are Second Homes","Ratio",0
"2008","S01001793","Which Are Second Homes","Ratio",1
"2009","S01001793","Which Are Second Homes","Ratio",1
"2010","S01001793","Which Are Second Homes","Ratio",1
"2011","S01001793","Which Are Second Homes","Ratio",1
"2012","S01001793","Which Are Second Homes","Ratio",1
"2013","S01001793","Which Are Second Homes","Ratio",1
"2014","S01001793","Which Are Second Homes","Ratio",0
"2013","S01001793","With Single Adult Discounts","Ratio",34
"2012","S01001793","With Single Adult Discounts","Ratio",34
"2007","S01001793","With Single Adult Discounts","Ratio",37
"2014","S01001793","With Single Adult Discounts","Ratio",38
"2009","S01001793","With Single Adult Discounts","Ratio",36
"2010","S01001793","With Single Adult Discounts","Ratio",36
"2011","S01001793","With Single Adult Discounts","Ratio",37
"2008","S01001793","With Single Adult Discounts","Ratio",36
"2011","S01001793","Which Are Vacant","Ratio",2
"2009","S01001793","Which Are Vacant","Ratio",1
"2008","S01001793","Which Are Vacant","Ratio",1
"2012","S01001793","Which Are Vacant","Ratio",3
"2013","S01001793","Which Are Vacant","Ratio",2
"2014","S01001793","Which Are Vacant","Ratio",2
"2007","S01001793","Which Are Vacant","Ratio",1
"2010","S01001793","Which Are Vacant","Ratio",2
"2007","S01001794","With 'Occupied Exemptions'","Count",2
"2008","S01001794","With 'Occupied Exemptions'","Count",5
"2009","S01001794","With 'Occupied Exemptions'","Count",3
"2010","S01001794","With 'Occupied Exemptions'","Count",4
"2011","S01001794","With 'Occupied Exemptions'","Count",4
"2012","S01001794","With 'Occupied Exemptions'","Count",5
"2013","S01001794","With 'Occupied Exemptions'","Count",4
"2014","S01001794","With 'Occupied Exemptions'","Count",5
"2012","S01001794","Which Are Second Homes","Count",3
"2014","S01001794","Which Are Second Homes","Count",1
"2009","S01001794","Which Are Second Homes","Count",2
"2011","S01001794","Which Are Second Homes","Count",1
"2007","S01001794","Which Are Second Homes","Count",2
"2013","S01001794","Which Are Second Homes","Count",4
"2010","S01001794","Which Are Second Homes","Count",1
"2008","S01001794","Which Are Second Homes","Count",3
"2009","S01001794","With Single Adult Discounts","Count",111
"2010","S01001794","With Single Adult Discounts","Count",111
"2011","S01001794","With Single Adult Discounts","Count",117
"2007","S01001794","With Single Adult Discounts","Count",122
"2014","S01001794","With Single Adult Discounts","Count",127
"2012","S01001794","With Single Adult Discounts","Count",122
"2013","S01001794","With Single Adult Discounts","Count",128
"2008","S01001794","With Single Adult Discounts","Count",108
"2010","S01001794","Which Are Vacant","Count",12
"2008","S01001794","Which Are Vacant","Count",5
"2014","S01001794","Which Are Vacant","Count",8
"2009","S01001794","Which Are Vacant","Count",9
"2011","S01001794","Which Are Vacant","Count",4
"2007","S01001794","Which Are Vacant","Count",3
"2012","S01001794","Which Are Vacant","Count",6
"2013","S01001794","Which Are Vacant","Count",9
"2009","S01001794","Total Dwellings","Count",398
"2013","S01001794","Total Dwellings","Count",399
"2007","S01001794","Total Dwellings","Count",387
"2011","S01001794","Total Dwellings","Count",396
"2010","S01001794","Total Dwellings","Count",397
"2014","S01001794","Total Dwellings","Count",398
"2012","S01001794","Total Dwellings","Count",397
"2008","S01001794","Total Dwellings","Count",387
"2014","S01001794","Which Are Occupied","Count",389
"2007","S01001794","Which Are Occupied","Count",382
"2013","S01001794","Which Are Occupied","Count",386
"2012","S01001794","Which Are Occupied","Count",388
"2011","S01001794","Which Are Occupied","Count",391
"2010","S01001794","Which Are Occupied","Count",384
"2008","S01001794","Which Are Occupied","Count",378
"2009","S01001794","Which Are Occupied","Count",387
"2008","S01001794","Which Are Occupied","Ratio",98
"2007","S01001794","Which Are Vacant","Ratio",1
"2009","S01001794","Which Are Occupied","Ratio",97
"2013","S01001794","Which Are Second Homes","Ratio",1
"2007","S01001794","Which Are Second Homes","Ratio",1
"2007","S01001794","Which Are Occupied","Ratio",99
"2014","S01001794","Which Are Occupied","Ratio",98
"2013","S01001794","Which Are Occupied","Ratio",97
"2009","S01001794","With Single Adult Discounts","Ratio",28
"2012","S01001794","Which Are Occupied","Ratio",98
"2011","S01001794","Which Are Occupied","Ratio",99
"2011","S01001794","Which Are Vacant","Ratio",1
"2011","S01001794","Which Are Second Homes","Ratio",0
"2010","S01001794","Which Are Second Homes","Ratio",0
"2010","S01001794","Which Are Occupied","Ratio",97
"2014","S01001794","Which Are Second Homes","Ratio",0
"2009","S01001794","Which Are Vacant","Ratio",2
"2007","S01001794","With 'Occupied Exemptions'","Ratio",1
"2008","S01001794","With 'Occupied Exemptions'","Ratio",1
"2012","S01001794","Which Are Vacant","Ratio",2
"2009","S01001794","With 'Occupied Exemptions'","Ratio",1
"2010","S01001794","With Single Adult Discounts","Ratio",28
"2013","S01001794","Which Are Vacant","Ratio",2
"2010","S01001794","With 'Occupied Exemptions'","Ratio",1
"2011","S01001794","With 'Occupied Exemptions'","Ratio",1
"2011","S01001794","With Single Adult Discounts","Ratio",30
"2012","S01001794","With 'Occupied Exemptions'","Ratio",1
"2008","S01001794","Which Are Vacant","Ratio",1
"2013","S01001794","With 'Occupied Exemptions'","Ratio",1
"2014","S01001794","With Single Adult Discounts","Ratio",32
"2014","S01001794","With 'Occupied Exemptions'","Ratio",1
"2012","S01001794","With Single Adult Discounts","Ratio",31
"2014","S01001794","Which Are Vacant","Ratio",2
"2009","S01001794","Which Are Second Homes","Ratio",1
"2007","S01001794","With Single Adult Discounts","Ratio",31
"2010","S01001794","Which Are Vacant","Ratio",3
"2008","S01001794","Which Are Second Homes","Ratio",1
"2013","S01001794","With Single Adult Discounts","Ratio",32
"2012","S01001794","Which Are Second Homes","Ratio",1
"2008","S01001794","With Single Adult Discounts","Ratio",28
"2013","S01001795","With 'Occupied Exemptions'","Count",8
"2007","S01001795","With Single Adult Discounts","Count",69
"2008","S01001795","With Single Adult Discounts","Count",73
"2009","S01001795","With 'Occupied Exemptions'","Count",5
"2010","S01001795","Which Are Occupied","Count",206
"2009","S01001795","With Single Adult Discounts","Count",73
"2010","S01001795","With Single Adult Discounts","Count",70
"2007","S01001795","Which Are Occupied","Count",202
"2011","S01001795","With Single Adult Discounts","Count",74
"2011","S01001795","Which Are Occupied","Count",206
"2012","S01001795","With Single Adult Discounts","Count",71
"2010","S01001795","With 'Occupied Exemptions'","Count",8
"2011","S01001795","With 'Occupied Exemptions'","Count",6
"2013","S01001795","With Single Adult Discounts","Count",65
"2012","S01001795","With 'Occupied Exemptions'","Count",7
"2014","S01001795","With Single Adult Discounts","Count",66
"2009","S01001795","Which Are Occupied","Count",204
"2010","S01001795","Which Are Second Homes","Count",1
"2010","S01001795","Which Are Vacant","Count",1
"2012","S01001795","Which Are Occupied","Count",197
"2007","S01001795","Which Are Vacant","Count",4
"2007","S01001795","With 'Occupied Exemptions'","Count",9
"2014","S01001795","Which Are Vacant","Count",7
"2012","S01001795","Which Are Vacant","Count",5
"2011","S01001795","Which Are Vacant","Count",2
"2014","S01001795","Which Are Occupied","Count",204
"2008","S01001795","Which Are Vacant","Count",3
"2011","S01001795","Which Are Second Homes","Count",1
"2008","S01001795","With 'Occupied Exemptions'","Count",8
"2007","S01001795","Which Are Second Homes","Count",1
"2009","S01001795","Which Are Vacant","Count",2
"2013","S01001795","Which Are Vacant","Count",10
"2010","S01001795","Total Dwellings","Count",208
"2007","S01001795","Total Dwellings","Count",207
"2008","S01001795","Total Dwellings","Count",209
"2014","S01001795","Total Dwellings","Count",212
"2013","S01001795","Total Dwellings","Count",214
"2012","S01001795","Total Dwellings","Count",209
"2011","S01001795","Total Dwellings","Count",209
"2009","S01001795","Total Dwellings","Count",207
"2008","S01001795","Which Are Second Homes","Count",4
"2012","S01001795","Which Are Second Homes","Count",6
"2013","S01001795","Which Are Second Homes","Count",5
"2013","S01001795","Which Are Occupied","Count",199
"2014","S01001795","With 'Occupied Exemptions'","Count",7
"2009","S01001795","Which Are Second Homes","Count",1
"2014","S01001795","Which Are Second Homes","Count",1
"2008","S01001795","Which Are Occupied","Count",202
"2008","S01001795","Which Are Occupied","Ratio",96
"2010","S01001795","Which Are Occupied","Ratio",99
"2014","S01001795","Which Are Occupied","Ratio",96
"2009","S01001795","Which Are Occupied","Ratio",99
"2007","S01001795","Which Are Occupied","Ratio",98
"2013","S01001795","Which Are Occupied","Ratio",93
"2012","S01001795","Which Are Occupied","Ratio",95
"2011","S01001795","Which Are Occupied","Ratio",99
"2011","S01001795","With 'Occupied Exemptions'","Ratio",3
"2012","S01001795","With 'Occupied Exemptions'","Ratio",3
"2014","S01001795","With 'Occupied Exemptions'","Ratio",3
"2008","S01001795","With 'Occupied Exemptions'","Ratio",4
"2009","S01001795","With 'Occupied Exemptions'","Ratio",3
"2007","S01001795","With 'Occupied Exemptions'","Ratio",4
"2010","S01001795","With 'Occupied Exemptions'","Ratio",4
"2013","S01001795","With 'Occupied Exemptions'","Ratio",4
"2009","S01001795","Which Are Second Homes","Ratio",0
"2013","S01001795","Which Are Second Homes","Ratio",2
"2010","S01001795","Which Are Second Homes","Ratio",0
"2007","S01001795","Which Are Second Homes","Ratio",1
"2011","S01001795","Which Are Second Homes","Ratio",0
"2008","S01001795","Which Are Second Homes","Ratio",2
"2014","S01001795","Which Are Second Homes","Ratio",0
"2012","S01001795","Which Are Second Homes","Ratio",3
"2007","S01001795","With Single Adult Discounts","Ratio",33
"2008","S01001795","With Single Adult Discounts","Ratio",35
"2009","S01001795","With Single Adult Discounts","Ratio",35
"2010","S01001795","With Single Adult Discounts","Ratio",34
"2011","S01001795","With Single Adult Discounts","Ratio",35
"2012","S01001795","With Single Adult Discounts","Ratio",34
"2013","S01001795","With Single Adult Discounts","Ratio",30
"2014","S01001795","With Single Adult Discounts","Ratio",31
"2012","S01001795","Which Are Vacant","Ratio",2
"2014","S01001795","Which Are Vacant","Ratio",3
"2009","S01001795","Which Are Vacant","Ratio",1
"2008","S01001795","Which Are Vacant","Ratio",2
"2011","S01001795","Which Are Vacant","Ratio",1
"2010","S01001795","Which Are Vacant","Ratio",0
"2007","S01001795","Which Are Vacant","Ratio",2
"2013","S01001795","Which Are Vacant","Ratio",5
"2011","S01001796","Which Are Occupied","Count",326
"2007","S01001796","With Single Adult Discounts","Count",60
"2008","S01001796","With Single Adult Discounts","Count",60
"2013","S01001796","With 'Occupied Exemptions'","Count",8
"2009","S01001796","With 'Occupied Exemptions'","Count",2
"2009","S01001796","With Single Adult Discounts","Count",62
"2010","S01001796","With Single Adult Discounts","Count",63
"2010","S01001796","With 'Occupied Exemptions'","Count",2
"2008","S01001796","Which Are Occupied","Count",326
"2011","S01001796","With Single Adult Discounts","Count",71
"2013","S01001796","Which Are Occupied","Count",327
"2012","S01001796","With Single Adult Discounts","Count",63
"2007","S01001796","Which Are Occupied","Count",340
"2013","S01001796","With Single Adult Discounts","Count",62
"2012","S01001796","With 'Occupied Exemptions'","Count",2
"2014","S01001796","With Single Adult Discounts","Count",51
"2008","S01001796","Which Are Second Homes","Count",1
"2010","S01001796","Which Are Second Homes","Count",3
"2007","S01001796","With 'Occupied Exemptions'","Count",4
"2010","S01001796","Which Are Vacant","Count",3
"2014","S01001796","Which Are Occupied","Count",323
"2011","S01001796","With 'Occupied Exemptions'","Count",2
"2014","S01001796","Which Are Vacant","Count",4
"2007","S01001796","Which Are Vacant","Count",2
"2008","S01001796","Which Are Vacant","Count",0
